metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,12.0,14.0,17.0,15.0,10.0,12.0,21.0,28.0,14.0
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,12.0,14.0,17.0,15.0,10.0,12.0,21.0,28.0,14.0
Working Capital Days,10.0,-0.0,7.0,-36.0,-9.0,29.0,23.0,26.0,12.0
ROCE %,38.0,44.0,42.0,56.0,46.0,48.0,54.0,47.0,
