metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,98.0,121.0,102.0,100.0,97.0,111.0,110.0,115.0,96.0,143.0,75.0,82.0
Inventory Days,83.0,78.0,122.0,97.0,87.0,67.0,95.0,121.0,92.0,178.0,134.0,139.0
Days Payable,180.0,141.0,164.0,188.0,281.0,212.0,296.0,319.0,238.0,472.0,188.0,163.0
Cash Conversion Cycle,1.0,57.0,60.0,8.0,-97.0,-34.0,-91.0,-83.0,-50.0,-151.0,22.0,58.0
Working Capital Days,-86.0,-8.0,-16.0,-5.0,-36.0,-48.0,-33.0,-29.0,-46.0,-87.0,-63.0,-29.0
ROCE %,5.0,8.0,20.0,27.0,30.0,19.0,12.0,8.0,11.0,3.0,3.0,8.0
