metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,82.0,108.0,104.0,160.0,94.0,97.0,46.0,66.0,66.0,72.0
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,82.0,108.0,104.0,160.0,94.0,97.0,46.0,66.0,66.0,72.0
Working Capital Days,-169.0,-27.0,181.0,122.0,52.0,63.0,16.0,34.0,10.0,11.0
ROCE %,12.0,9.0,9.0,10.0,11.0,17.0,16.0,14.0,14.0,
