metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,46.0,66.0,2.0,7.0,10.0,9.0,9.0
Inventory Days,,,,,,,
Days Payable,,,,,,,
Cash Conversion Cycle,46.0,66.0,2.0,7.0,10.0,9.0,9.0
Working Capital Days,26.0,505.0,-45.0,92.0,233.0,51.0,-88.0
ROCE %,-2.0,-7.0,1.0,1.0,5.0,3.0,
