metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,61.0,84.0,97.0,95.0,126.0,89.0,101.0
Inventory Days,186.0,29.0,52.0,139.0,129.0,167.0,56.0
Days Payable,87.0,50.0,50.0,77.0,61.0,54.0,34.0
Cash Conversion Cycle,160.0,63.0,99.0,156.0,193.0,202.0,124.0
Working Capital Days,20.0,27.0,75.0,112.0,128.0,134.0,92.0
ROCE %,55.0,51.0,28.0,24.0,28.0,30.0,
