metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,18.0,14.0,11.0,16.0,16.0,12.0,14.0,14.0,10.0,9.0,21.0,6.0
Inventory Days,129.0,132.0,161.0,135.0,184.0,184.0,153.0,147.0,124.0,107.0,234.0,66.0
Days Payable,78.0,267.0,308.0,202.0,242.0,275.0,245.0,221.0,91.0,83.0,165.0,88.0
Cash Conversion Cycle,69.0,-120.0,-136.0,-51.0,-42.0,-80.0,-77.0,-61.0,43.0,33.0,90.0,-16.0
Working Capital Days,-121.0,-219.0,-338.0,-182.0,-212.0,-186.0,-150.0,-82.0,-120.0,-107.0,-243.0,-121.0
ROCE %,9.0,-14.0,11.0,15.0,14.0,10.0,17.0,28.0,20.0,21.0,12.0,16.0
