metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,181.0,145.0,109.0,76.0,103.0,84.0
Inventory Days,84.0,89.0,107.0,137.0,86.0,102.0
Days Payable,232.0,192.0,160.0,137.0,124.0,112.0
Cash Conversion Cycle,33.0,42.0,56.0,76.0,65.0,74.0
Working Capital Days,23.0,40.0,29.0,48.0,51.0,55.0
ROCE %,28.0,66.0,45.0,50.0,45.0,
