metric,Mar 2013,Mar 2014,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68.0,60.0,64.0,62.0,73.0,75.0,67.0,64.0,80.0,80.0
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,68.0,60.0,64.0,62.0,73.0,75.0,67.0,64.0,80.0,80.0
Working Capital Days,154.0,122.0,62.0,72.0,75.0,82.0,76.0,141.0,100.0,143.0
ROCE %,71.0,25.0,27.0,17.0,17.0,15.0,15.0,16.0,,
