metric,Dec 2016,Dec 2017,Dec 2018,Dec 2019,Dec 2020,Dec 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,71.0,63.0,61.0,79.0,101.0,73.0,47.0,63.0,57.0,73.0
Inventory Days,102.0,91.0,66.0,57.0,72.0,37.0,22.0,32.0,69.0,79.0
Days Payable,447.0,348.0,293.0,327.0,477.0,312.0,156.0,235.0,349.0,370.0
Cash Conversion Cycle,-274.0,-194.0,-166.0,-190.0,-303.0,-202.0,-87.0,-139.0,-224.0,-217.0
Working Capital Days,-70.0,-69.0,-73.0,-25.0,12.0,-3.0,-9.0,-11.0,-29.0,-40.0
ROCE %,5.0,5.0,10.0,10.0,17.0,21.0,17.0,17.0,18.0,
