metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,850.0,245.0,209.0,134.0,106.0,175.0,129.0,104.0,53.0,50.0,60.0
Inventory Days,383.0,,,,,,,,,,
Days Payable,455.0,,,,,,,,,,
Cash Conversion Cycle,850.0,245.0,209.0,63.0,106.0,175.0,129.0,104.0,53.0,50.0,60.0
Working Capital Days,-12275.0,-218.0,-678.0,-182.0,-193.0,-407.0,-576.0,-175.0,-905.0,-438.0,-369.0
ROCE %,2.0,4.0,4.0,8.0,10.0,8.0,8.0,10.0,9.0,7.0,
