metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,19.0,19.0,23.0,25.0,24.0,23.0,17.0,18.0,13.0,17.0,21.0
Inventory Days,70.0,98.0,90.0,95.0,104.0,134.0,80.0,69.0,53.0,61.0,73.0
Days Payable,19.0,40.0,32.0,34.0,28.0,31.0,23.0,21.0,22.0,21.0,16.0
Cash Conversion Cycle,70.0,76.0,80.0,86.0,100.0,126.0,74.0,66.0,45.0,57.0,78.0
Working Capital Days,45.0,52.0,60.0,73.0,82.0,202.0,159.0,120.0,68.0,59.0,170.0
ROCE %,26.0,24.0,24.0,18.0,20.0,21.0,16.0,19.0,18.0,16.0,
