metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,108.0,94.0,96.0,149.0,93.0
Inventory Days,139.0,109.0,43.0,185.0,74.0
Days Payable,93.0,120.0,116.0,167.0,105.0
Cash Conversion Cycle,154.0,82.0,23.0,167.0,63.0
Working Capital Days,44.0,5.0,-33.0,122.0,73.0
ROCE %,28.0,31.0,27.0,32.0,
