metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,148.0,187.0,220.0,106.0,61.0,47.0,36.0,32.0,12.0,14.0,14.0,25.0
Inventory Days,131.0,160.0,181.0,119.0,94.0,75.0,94.0,123.0,83.0,70.0,84.0,112.0
Days Payable,225.0,273.0,275.0,151.0,123.0,102.0,113.0,132.0,90.0,76.0,77.0,64.0
Cash Conversion Cycle,54.0,74.0,127.0,74.0,32.0,20.0,17.0,23.0,6.0,7.0,21.0,73.0
Working Capital Days,-92.0,-135.0,-247.0,-713.0,-503.0,-211.0,-345.0,-378.0,-218.0,-25.0,-5.0,17.0
ROCE %,-3.0,-5.0,-10.0,-8.0,-8.0,-2.0,-0.0,1.0,9.0,18.0,62.0,36.0
