metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,194.0,158.0,162.0,209.0,129.0,92.0,106.0
Inventory Days,360.0,508.0,502.0,609.0,428.0,574.0,479.0
Days Payable,183.0,271.0,320.0,353.0,252.0,263.0,248.0
Cash Conversion Cycle,371.0,395.0,345.0,465.0,305.0,403.0,337.0
Working Capital Days,183.0,149.0,107.0,75.0,57.0,46.0,104.0
ROCE %,17.0,-12.0,1.0,19.0,26.0,28.0,
