metric,Mar 2025,Mar 2026
Debtor Days,48.0,17.0
Inventory Days,518.0,362.0
Days Payable,14.0,45.0
Cash Conversion Cycle,552.0,334.0
Working Capital Days,103.0,98.0
ROCE %,35.0,
