metric,Mar 2024,Mar 2025,Mar 2026
Debtor Days,52.0,73.0,83.0
Inventory Days,63.0,72.0,88.0
Days Payable,51.0,42.0,49.0
Cash Conversion Cycle,64.0,103.0,122.0
Working Capital Days,16.0,38.0,108.0
ROCE %,37.0,28.0,
