metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,311.0,314.0,194.0,309.0,401.0,537.0,867.0,853.0,724.0
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,311.0,314.0,194.0,309.0,401.0,537.0,867.0,853.0,724.0
Working Capital Days,-81.0,-129.0,-36.0,-391.0,-234.0,-137.0,-114.0,-104.0,-98.0
ROCE %,29.0,42.0,1.0,18.0,53.0,43.0,27.0,18.0,
