metric,Mar 2015,Mar 2016,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,68.0,57.0,88.0,71.0,88.0,84.0,73.0,68.0,67.0
Inventory Days,114.0,115.0,99.0,93.0,112.0,117.0,90.0,102.0,110.0
Days Payable,67.0,60.0,105.0,74.0,92.0,91.0,76.0,96.0,87.0
Cash Conversion Cycle,115.0,112.0,82.0,90.0,109.0,111.0,87.0,74.0,89.0
Working Capital Days,78.0,73.0,55.0,66.0,49.0,46.0,40.0,71.0,66.0
ROCE %,14.0,20.0,-16.0,22.0,2.0,16.0,15.0,,
