metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,83.0,71.0,89.0,88.0,100.0,99.0,107.0
Inventory Days,250.0,312.0,205.0,421.0,278.0,294.0,284.0
Days Payable,82.0,98.0,80.0,127.0,129.0,143.0,136.0
Cash Conversion Cycle,251.0,285.0,214.0,382.0,250.0,250.0,255.0
Working Capital Days,161.0,169.0,168.0,242.0,155.0,173.0,145.0
ROCE %,28.0,25.0,15.0,14.0,12.0,15.0,
