metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,74.0,84.0,71.0,15.0,71.0,45.0,46.0
Inventory Days,56.0,44.0,135.0,197.0,157.0,121.0,159.0
Days Payable,76.0,114.0,168.0,124.0,152.0,88.0,90.0
Cash Conversion Cycle,55.0,14.0,38.0,88.0,76.0,78.0,115.0
Working Capital Days,52.0,-24.0,-28.0,-58.0,-12.0,-22.0,27.0
ROCE %,13.0,4.0,6.0,25.0,41.0,33.0,
