metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020
Debtor Days,48.0,82.0,90.0,53.0,33.0,47.0
Inventory Days,596.0,,,,,
Days Payable,203.0,,,,,
Cash Conversion Cycle,48.0,82.0,482.0,53.0,33.0,47.0
Working Capital Days,60.0,91.0,85.0,6.0,-22.0,1.0
ROCE %,8.0,15.0,23.0,24.0,11.0,
