metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,115.0,84.0,102.0,99.0,117.0,
Inventory Days,272.0,188.0,230.0,190.0,280.0,
Days Payable,123.0,106.0,135.0,90.0,146.0,
Cash Conversion Cycle,264.0,166.0,197.0,200.0,251.0,
Working Capital Days,111.0,94.0,110.0,105.0,90.0,
ROCE %,19.0,16.0,17.0,17.0,11.0,
