metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,55.0,38.0,30.0,33.0,22.0,28.0,8.0,14.0,74.0
Inventory Days,113.0,,,,,,,,
Days Payable,89.0,,,,,,,,
Cash Conversion Cycle,55.0,38.0,30.0,33.0,22.0,28.0,8.0,14.0,98.0
Working Capital Days,61.0,60.0,69.0,34.0,52.0,69.0,13.0,54.0,66.0
ROCE %,2.0,2.0,1.0,1.0,1.0,6.0,2.0,3.0,
