metric,Mar 2014,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023
Debtor Days,167.0,161.0,173.0,167.0,164.0,205.0,161.0,195.0,,
Inventory Days,,,,,,,,,,
Days Payable,,,,,,,,,,
Cash Conversion Cycle,167.0,161.0,173.0,167.0,164.0,205.0,161.0,195.0,,
Working Capital Days,172.0,-92.0,-18.0,-37.0,-12.0,-16.0,2.0,50.0,,
ROCE %,17.0,17.0,18.0,18.0,14.0,16.0,16.0,,,
