metric,Dec 2022,Dec 2023,Dec 2024,Dec 2025
Debtor Days,55.0,53.0,57.0,62.0
Inventory Days,107.0,107.0,104.0,109.0
Days Payable,95.0,86.0,80.0,104.0
Cash Conversion Cycle,66.0,74.0,82.0,68.0
Working Capital Days,54.0,56.0,63.0,57.0
ROCE %,27.0,25.0,27.0,
