metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,105.0,110.0,128.0,117.0,101.0,98.0,92.0,91.0,83.0
Inventory Days,203.0,193.0,146.0,185.0,198.0,157.0,136.0,153.0,149.0
Days Payable,176.0,136.0,122.0,145.0,109.0,86.0,96.0,106.0,77.0
Cash Conversion Cycle,133.0,166.0,152.0,157.0,189.0,169.0,132.0,137.0,155.0
Working Capital Days,114.0,116.0,109.0,95.0,127.0,136.0,172.0,180.0,254.0
ROCE %,27.0,26.0,32.0,33.0,29.0,20.0,25.0,23.0,
