metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,251.0,43.0,39.0,50.0,53.0,65.0,
Inventory Days,601.0,117.0,146.0,160.0,163.0,140.0,
Days Payable,685.0,103.0,113.0,131.0,141.0,150.0,
Cash Conversion Cycle,167.0,57.0,72.0,80.0,75.0,55.0,
Working Capital Days,220.0,49.0,42.0,37.0,29.0,22.0,
ROCE %,8.0,29.0,16.0,10.0,11.0,11.0,
