nse_symbol,year,metric,value
AADHARHFC,Mar 2019,ROE %,20.0
AADHARHFC,Mar 2020,ROE %,12.0
AADHARHFC,Mar 2021,ROE %,14.0
AADHARHFC,Mar 2022,ROE %,15.0
AADHARHFC,Mar 2023,ROE %,16.0
AADHARHFC,Mar 2024,ROE %,18.0
AADHARHFC,Mar 2025,ROE %,17.0
AADHARHFC,Mar 2026,ROE %,16.0
AARTIDRUGS,Mar 2015,Debtor Days,105.0
AARTIDRUGS,Mar 2016,Debtor Days,106.0
AARTIDRUGS,Mar 2017,Debtor Days,91.0
AARTIDRUGS,Mar 2018,Debtor Days,110.0
AARTIDRUGS,Mar 2019,Debtor Days,107.0
AARTIDRUGS,Mar 2020,Debtor Days,99.0
AARTIDRUGS,Mar 2021,Debtor Days,94.0
AARTIDRUGS,Mar 2022,Debtor Days,110.0
AARTIDRUGS,Mar 2023,Debtor Days,116.0
AARTIDRUGS,Mar 2024,Debtor Days,102.0
AARTIDRUGS,Mar 2025,Debtor Days,115.0
AARTIDRUGS,Mar 2026,Debtor Days,118.0
AARTIDRUGS,Mar 2015,Inventory Days,82.0
AARTIDRUGS,Mar 2016,Inventory Days,86.0
AARTIDRUGS,Mar 2017,Inventory Days,100.0
AARTIDRUGS,Mar 2018,Inventory Days,132.0
AARTIDRUGS,Mar 2019,Inventory Days,86.0
AARTIDRUGS,Mar 2020,Inventory Days,102.0
AARTIDRUGS,Mar 2021,Inventory Days,117.0
AARTIDRUGS,Mar 2022,Inventory Days,115.0
AARTIDRUGS,Mar 2023,Inventory Days,101.0
AARTIDRUGS,Mar 2024,Inventory Days,107.0
AARTIDRUGS,Mar 2025,Inventory Days,114.0
AARTIDRUGS,Mar 2026,Inventory Days,111.0
AARTIDRUGS,Mar 2015,Days Payable,83.0
AARTIDRUGS,Mar 2016,Days Payable,90.0
AARTIDRUGS,Mar 2017,Days Payable,94.0
AARTIDRUGS,Mar 2018,Days Payable,123.0
AARTIDRUGS,Mar 2019,Days Payable,85.0
