metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,97.0,84.0,133.0,61.0,55.0,143.0,100.0,73.0,87.0
Inventory Days,1.0,0.0,,,,,,,
Days Payable,253.0,195.0,,,,,,,
Cash Conversion Cycle,-155.0,84.0,133.0,61.0,55.0,143.0,100.0,73.0,-108.0
Working Capital Days,13.0,14.0,33.0,13.0,17.0,32.0,89.0,25.0,6.0
ROCE %,50.0,23.0,-14.0,-66.0,-65.0,4.0,17.0,26.0,
