metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,66.0,73.0,61.0,52.0,45.0,56.0,53.0,55.0
Inventory Days,74.0,71.0,91.0,92.0,92.0,86.0,78.0,95.0
Days Payable,440.0,432.0,464.0,458.0,380.0,303.0,291.0,318.0
Cash Conversion Cycle,-300.0,-288.0,-311.0,-314.0,-243.0,-162.0,-160.0,-169.0
Working Capital Days,-20.0,-46.0,-22.0,-36.0,-55.0,-14.0,-13.0,-21.0
ROCE %,0.0,1.0,6.0,6.0,5.0,5.0,10.0,
