metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,5.0,6.0,6.0,6.0,4.0,5.0,4.0,4.0,5.0,3.0,4.0
Inventory Days,45.0,39.0,48.0,52.0,57.0,66.0,52.0,52.0,45.0,35.0,34.0
Days Payable,127.0,129.0,139.0,128.0,129.0,171.0,119.0,98.0,130.0,105.0,127.0
Cash Conversion Cycle,-77.0,-85.0,-84.0,-70.0,-68.0,-100.0,-64.0,-42.0,-79.0,-66.0,-89.0
Working Capital Days,-31.0,-70.0,-65.0,-95.0,-108.0,-95.0,-26.0,-37.0,-65.0,-60.0,-85.0
ROCE %,-19.0,15.0,7.0,6.0,2.0,16.0,18.0,6.0,6.0,5.0,
