metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,525.0,762.0,581.0,490.0,394.0,536.0,635.0,709.0,403.0,486.0
Inventory Days,110.0,126.0,114.0,167.0,196.0,118.0,261.0,215.0,41.0,41.0
Days Payable,1228.0,1482.0,1109.0,1705.0,1578.0,855.0,1242.0,1286.0,492.0,574.0
Cash Conversion Cycle,-594.0,-594.0,-414.0,-1049.0,-988.0,-202.0,-345.0,-361.0,-48.0,-47.0
Working Capital Days,-283.0,-230.0,-145.0,-117.0,-131.0,-36.0,-103.0,-488.0,-145.0,-177.0
ROCE %,14.0,7.0,9.0,5.0,8.0,-4.0,-8.0,-1.0,1.0,
