metric,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,71.0,68.0,69.0,79.0,104.0,68.0,50.0,55.0,58.0,52.0
Inventory Days,495.0,134.0,189.0,239.0,230.0,177.0,173.0,163.0,183.0,211.0
Days Payable,392.0,197.0,198.0,243.0,264.0,224.0,180.0,168.0,141.0,134.0
Cash Conversion Cycle,173.0,5.0,60.0,75.0,69.0,22.0,44.0,51.0,100.0,129.0
Working Capital Days,5.0,24.0,25.0,-14.0,-1.0,21.0,16.0,26.0,29.0,35.0
ROCE %,7.0,7.0,-6.0,-8.0,1.0,14.0,14.0,17.0,20.0,
