metric,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,366.0,92.0,91.0,83.0,93.0
Inventory Days,,,,,
Days Payable,,,,,
Cash Conversion Cycle,366.0,92.0,91.0,83.0,93.0
Working Capital Days,58.0,13.0,-6.0,25.0,7.0
ROCE %,5.0,5.0,10.0,13.0,
