metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,16.0,15.0,14.0,26.0,23.0,24.0,26.0,34.0,21.0,18.0,14.0
Inventory Days,,,,,,,,,,,
Days Payable,,,,,,,,,,,
Cash Conversion Cycle,16.0,15.0,14.0,26.0,23.0,24.0,26.0,34.0,21.0,18.0,14.0
Working Capital Days,-93.0,-101.0,-91.0,-69.0,-59.0,-75.0,-79.0,-52.0,-106.0,-105.0,-11.0
ROCE %,18.0,15.0,16.0,17.0,15.0,14.0,20.0,23.0,23.0,28.0,
