metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,35.0,16.0,14.0,19.0,19.0,12.0,18.0
Inventory Days,64.0,48.0,39.0,44.0,41.0,38.0,49.0
Days Payable,268.0,217.0,157.0,164.0,120.0,99.0,121.0
Cash Conversion Cycle,-169.0,-152.0,-104.0,-101.0,-59.0,-49.0,-54.0
Working Capital Days,17.0,-7.0,-24.0,-24.0,-5.0,-19.0,-21.0
ROCE %,7.0,17.0,21.0,22.0,18.0,15.0,
