metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,184.0,77.0,79.0,92.0,72.0,71.0,72.0,92.0,94.0
Inventory Days,736.0,351.0,390.0,404.0,314.0,375.0,435.0,487.0,430.0
Days Payable,471.0,127.0,176.0,202.0,170.0,174.0,144.0,162.0,123.0
Cash Conversion Cycle,449.0,301.0,293.0,294.0,216.0,272.0,363.0,418.0,401.0
Working Capital Days,67.0,22.0,-0.0,6.0,33.0,62.0,60.0,97.0,109.0
ROCE %,11.0,9.0,11.0,20.0,30.0,10.0,10.0,10.0,
