metric,Mar 2016,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,197.0,99.0,54.0,57.0,69.0,48.0,52.0,55.0,49.0,44.0
Inventory Days,0.0,,,,,,,,,
Days Payable,417.0,,,,,,,,,
Cash Conversion Cycle,197.0,99.0,54.0,-359.0,69.0,48.0,52.0,55.0,49.0,44.0
Working Capital Days,148.0,108.0,-25.0,35.0,35.0,-19.0,-10.0,-24.0,1.0,438.0
ROCE %,-5.0,2.0,3.0,-6.0,3.0,4.0,8.0,12.0,,
