metric,Mar 2020,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,49.0,30.0,43.0,58.0,43.0,
Inventory Days,530.0,1221.0,,,,
Days Payable,416.0,598.0,,,,
Cash Conversion Cycle,49.0,30.0,157.0,58.0,666.0,
Working Capital Days,49.0,41.0,54.0,84.0,11.0,
ROCE %,45.0,25.0,13.0,7.0,,
