metric,Mar 2020,Mar 2021
Debtor Days,80.0,105.0
Inventory Days,120.0,253.0
Days Payable,90.0,128.0
Cash Conversion Cycle,110.0,231.0
Working Capital Days,51.0,88.0
ROCE %,57.0,
