metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,38.0,61.0,27.0,41.0,37.0,30.0,50.0
Inventory Days,74.0,148.0,101.0,103.0,148.0,197.0,225.0
Days Payable,60.0,79.0,34.0,50.0,77.0,91.0,116.0
Cash Conversion Cycle,51.0,131.0,94.0,93.0,108.0,136.0,159.0
Working Capital Days,-35.0,-29.0,-44.0,-28.0,-90.0,-38.0,88.0
ROCE %,8.0,9.0,6.0,7.0,28.0,45.0,
