metric,Mar 2020,Mar 2021
Debtor Days,44.0,41.0
Inventory Days,67.0,85.0
Days Payable,47.0,44.0
Cash Conversion Cycle,64.0,82.0
Working Capital Days,43.0,44.0
ROCE %,17.0,
