metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,123.0,93.0,106.0,102.0,74.0,72.0,77.0,154.0
Inventory Days,184.0,228.0,209.0,167.0,191.0,150.0,156.0,170.0
Days Payable,136.0,139.0,122.0,121.0,103.0,99.0,131.0,131.0
Cash Conversion Cycle,171.0,182.0,193.0,148.0,162.0,123.0,102.0,193.0
Working Capital Days,38.0,32.0,50.0,53.0,107.0,66.0,-7.0,133.0
ROCE %,14.0,13.0,25.0,22.0,15.0,14.0,13.0,
