metric,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,58.0,50.0,91.0,96.0,100.0,55.0,50.0,62.0,88.0,129.0,75.0
Inventory Days,10.0,,,,,,,,,,
Days Payable,1092.0,,,,,,,,,,
Cash Conversion Cycle,58.0,50.0,91.0,96.0,100.0,55.0,50.0,62.0,-994.0,129.0,75.0
Working Capital Days,33.0,42.0,72.0,92.0,12.0,-9.0,6.0,22.0,26.0,-38.0,75.0
ROCE %,36.0,16.0,3.0,-4.0,2.0,7.0,7.0,6.0,2.0,27.0,
