metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,10.0,10.0,16.0,15.0,8.0,6.0,8.0,7.0,9.0
Inventory Days,,,,,,,,,
Days Payable,,,,,,,,,
Cash Conversion Cycle,10.0,10.0,16.0,15.0,8.0,6.0,8.0,7.0,9.0
Working Capital Days,-409.0,-522.0,-239.0,-498.0,-891.0,-551.0,-497.0,-346.0,-361.0
ROCE %,24.0,22.0,25.0,32.0,23.0,35.0,33.0,23.0,
