metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,22.0,17.0,18.0,13.0,13.0,11.0
Inventory Days,30.0,29.0,28.0,23.0,25.0,26.0
Days Payable,71.0,55.0,60.0,53.0,52.0,52.0
Cash Conversion Cycle,-19.0,-9.0,-15.0,-16.0,-14.0,-15.0
Working Capital Days,-29.0,-25.0,-27.0,-31.0,-20.0,-20.0
ROCE %,23.0,33.0,51.0,54.0,38.0,
