metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,60.0,127.0,108.0,97.0,102.0,91.0,97.0,80.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,60.0,127.0,108.0,97.0,102.0,91.0,97.0,80.0
Working Capital Days,-7.0,-5.0,45.0,11.0,41.0,27.0,39.0,120.0
ROCE %,37.0,55.0,46.0,33.0,29.0,25.0,19.0,
