metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,24.0,17.0,31.0,20.0,25.0,23.0,22.0,20.0
Inventory Days,41.0,32.0,56.0,28.0,21.0,21.0,19.0,15.0
Days Payable,467.0,466.0,1973.0,1364.0,881.0,644.0,427.0,356.0
Cash Conversion Cycle,-402.0,-417.0,-1886.0,-1316.0,-835.0,-601.0,-387.0,-321.0
Working Capital Days,-76.0,-158.0,-1422.0,-386.0,-404.0,-229.0,-69.0,-80.0
ROCE %,2.0,-8.0,-4.0,8.0,7.0,9.0,9.0,
