metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,215.0,376.0,87.0,173.0,69.0,40.0,54.0,55.0,81.0,100.0,142.0
Inventory Days,4.0,7.0,22.0,33.0,7.0,2.0,4.0,3.0,3.0,2.0,15.0
Days Payable,281.0,382.0,156.0,264.0,92.0,27.0,70.0,49.0,20.0,37.0,92.0
Cash Conversion Cycle,-63.0,1.0,-47.0,-57.0,-15.0,15.0,-12.0,8.0,63.0,65.0,65.0
Working Capital Days,-34.0,-40.0,255.0,159.0,9.0,20.0,14.0,41.0,69.0,94.0,144.0
ROCE %,6.0,7.0,6.0,61.0,85.0,45.0,26.0,21.0,22.0,,
