metric,Mar 2015,Mar 2016,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025
Debtor Days,2.0,2.0,99.0,69.0,76.0,51.0,12.0,14.0,28.0,11.0,26.0
Inventory Days,147.0,124.0,158.0,184.0,197.0,138.0,112.0,93.0,103.0,134.0,128.0
Days Payable,181.0,167.0,109.0,150.0,120.0,49.0,76.0,77.0,37.0,54.0,60.0
Cash Conversion Cycle,-32.0,-41.0,148.0,102.0,152.0,141.0,47.0,30.0,94.0,91.0,94.0
Working Capital Days,-158.0,25.0,-1.0,-20.0,13.0,-66.0,-228.0,-159.0,-120.0,-175.0,-239.0
ROCE %,-55.0,6.0,25.0,1.0,27.0,40.0,33.0,30.0,17.0,9.0,
