metric,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,119.0,656.0,263.0,26.0,23.0,15.0
Inventory Days,,,,,,
Days Payable,,,,,,
Cash Conversion Cycle,119.0,656.0,263.0,26.0,23.0,15.0
Working Capital Days,-2.0,296.0,-176.0,-204.0,10.0,-16.0
ROCE %,-29.0,-36.0,-32.0,11.0,13.0,
