metric,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,18.0,17.0,20.0,23.0,25.0,24.0,18.0,24.0,34.0
Inventory Days,99.0,96.0,117.0,124.0,114.0,120.0,99.0,93.0,103.0
Days Payable,140.0,134.0,143.0,161.0,129.0,131.0,110.0,119.0,128.0
Cash Conversion Cycle,-24.0,-20.0,-7.0,-14.0,10.0,13.0,8.0,-3.0,9.0
Working Capital Days,-8.0,-7.0,3.0,-1.0,13.0,16.0,1.0,-5.0,0.0
ROCE %,32.0,29.0,18.0,10.0,8.0,9.0,13.0,11.0,
