metric,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,700.0,131.0,85.0,78.0
Inventory Days,,,,
Days Payable,,,,
Cash Conversion Cycle,700.0,131.0,85.0,78.0
Working Capital Days,-8849.0,-723.0,-642.0,-684.0
ROCE %,8.0,5.0,4.0,
