metric,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,10.0,22.0,11.0,142.0,8.0,23.0,5.0,4.0
Inventory Days,,,,,,,,
Days Payable,,,,,,,,
Cash Conversion Cycle,10.0,22.0,11.0,142.0,8.0,23.0,5.0,4.0
Working Capital Days,-135.0,-317.0,-438.0,-157.0,-243.0,-281.0,-215.0,-147.0
ROCE %,-9.0,-1.0,4.0,10.0,14.0,17.0,22.0,
