metric,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Debtor Days,63.0,50.0,54.0,57.0,57.0,59.0,67.0
Inventory Days,57.0,54.0,49.0,41.0,43.0,52.0,52.0
Days Payable,32.0,22.0,22.0,25.0,24.0,31.0,45.0
Cash Conversion Cycle,88.0,82.0,81.0,73.0,77.0,80.0,74.0
Working Capital Days,57.0,54.0,41.0,32.0,48.0,65.0,35.0
ROCE %,1.0,1.0,5.0,7.0,9.0,10.0,
