nse_symbol,status
AADHARHFC,ok:calls_listed=9:downloaded=8:text_ok=8
AARTIDRUGS,ok:calls_listed=16:downloaded=16:text_ok=16
AARTIIND,ok:calls_listed=16:downloaded=15:text_ok=15
AARTIPHARM,ok:calls_listed=12:downloaded=12:text_ok=12
AAVAS,ok:calls_listed=21:downloaded=21:text_ok=21
ABB,ok:calls_listed=17:downloaded=17:text_ok=17
ABBOTINDIA,ok:calls_listed=1:downloaded=1:text_ok=1
ABDL,ok:calls_listed=9:downloaded=7:text_ok=7
ABFRL,ok:calls_listed=18:downloaded=18:text_ok=18
ABLBL,ok:calls_listed=4:downloaded=4:text_ok=4
ABREL,ok:calls_listed=16:downloaded=16:text_ok=16
ABSLAMC,ok:calls_listed=17:downloaded=17:text_ok=17
ACC,ok:calls_listed=13:downloaded=13:text_ok=13
ACE,ok:calls_listed=18:downloaded=18:text_ok=18
ACI,ok:calls_listed=16:downloaded=14:text_ok=14
ACMESOLAR,ok:calls_listed=7:downloaded=7:text_ok=7
ACUTAAS,ok:calls_listed=18:downloaded=18:text_ok=18
ADANIENSOL,ok:calls_listed=13:downloaded=13:text_ok=13
ADANIENT,ok:calls_listed=15:downloaded=15:text_ok=15
ADANIGREEN,ok:calls_listed=15:downloaded=12:text_ok=12
ADANIPORTS,ok:calls_listed=15:downloaded=14:text_ok=14
ADANIPOWER,ok:calls_listed=12:downloaded=11:text_ok=11
ADVENZYMES,ok:calls_listed=16:downloaded=16:text_ok=16
AEGISLOG,ok:calls_listed=14:downloaded=14:text_ok=14
AEGISVOPAK,ok:calls_listed=4:downloaded=3:text_ok=3
AEQUS,ok:calls_listed=2:downloaded=2:text_ok=2
AETHER,ok:calls_listed=17:downloaded=17:text_ok=17
AFCONS,ok:calls_listed=7:downloaded=7:text_ok=7
AFFLE,ok:calls_listed=17:downloaded=17:text_ok=17
AGARWALEYE,ok:calls_listed=7:downloaded=7:text_ok=7
AHLUCONT,ok:calls_listed=15:downloaded=15:text_ok=15
AIAENG,ok:calls_listed=16:downloaded=16:text_ok=16
AIIL,no_concalls_listed
AJANTPHARM,ok:calls_listed=15:downloaded=5:text_ok=5
AKUMS,ok:calls_listed=8:downloaded=8:text_ok=8
ALIVUS,ok:calls_listed=15:downloaded=15:text_ok=15
ALKEM,ok:calls_listed=17:downloaded=17:text_ok=17
ALKYLAMINE,ok:calls_listed=8:downloaded=8:text_ok=8
ALOKINDS,no_concalls_listed
AMBER,ok:calls_listed=17:downloaded=17:text_ok=17
AMBUJACEM,ok:calls_listed=17:downloaded=16:text_ok=16
ANANDRATHI,ok:calls_listed=17:downloaded=17:text_ok=17
ANANTRAJ,ok:calls_listed=5:downloaded=5:text_ok=5
ANGELONE,ok:calls_listed=22:downloaded=22:text_ok=22
ANTHEM,ok:calls_listed=5:downloaded=5:text_ok=5
ANUP,ok:calls_listed=16:downloaded=16:text_ok=16
ANURAS,ok:calls_listed=18:downloaded=18:text_ok=18
APARINDS,ok:calls_listed=25:downloaded=25:text_ok=25
APLAPOLLO,ok:calls_listed=17:downloaded=17:text_ok=17
APLLTD,ok:calls_listed=15:downloaded=15:text_ok=15
APOLLO,ok:calls_listed=6:downloaded=6:text_ok=6
APOLLOHOSP,ok:calls_listed=16:downloaded=15:text_ok=15
APOLLOTYRE,ok:calls_listed=16:downloaded=16:text_ok=16
APTUS,ok:calls_listed=16:downloaded=16:text_ok=16
ARVIND,ok:calls_listed=15:downloaded=2:text_ok=2
ARVINDFASN,ok:calls_listed=17:downloaded=12:text_ok=12
ASAHIINDIA,no_concalls_listed
ASHAPURMIN,ok:calls_listed=4:downloaded=4:text_ok=4
ASHOKA,ok:calls_listed=19:downloaded=19:text_ok=19
ASHOKLEY,ok:calls_listed=13:downloaded=12:text_ok=12
ASIANPAINT,ok:calls_listed=17:downloaded=17:text_ok=17
ASKAUTOLTD,ok:calls_listed=9:downloaded=9:text_ok=9
ASTERDM,ok:calls_listed=18:downloaded=18:text_ok=18
ASTRAL,ok:calls_listed=16:downloaded=13:text_ok=13
ASTRAMICRO,ok:calls_listed=16:downloaded=16:text_ok=16
ATGL,ok:calls_listed=11:downloaded=11:text_ok=11
ATHERENERG,ok:calls_listed=5:downloaded=5:text_ok=5
ATLANTAELE,ok:calls_listed=5:downloaded=5:text_ok=5
ATUL,no_concalls_listed
AUBANK,ok:calls_listed=16:downloaded=16:text_ok=16
AURIONPRO,ok:calls_listed=16:downloaded=16:text_ok=16
AUROPHARMA,ok:calls_listed=16:downloaded=16:text_ok=16
AVALON,ok:calls_listed=15:downloaded=15:text_ok=15
AVANTIFEED,ok:calls_listed=17:downloaded=17:text_ok=17
AVL,ok:calls_listed=13:downloaded=13:text_ok=13
AWFIS,ok:calls_listed=9:downloaded=9:text_ok=9
AWL,ok:calls_listed=16:downloaded=14:text_ok=14
AXISBANK,ok:calls_listed=18:downloaded=17:text_ok=17
AXISCADES,ok:calls_listed=18:downloaded=18:text_ok=18
AZAD,ok:calls_listed=9:downloaded=9:text_ok=9
BAJAJ-AUTO,ok:calls_listed=16:downloaded=16:text_ok=16
BAJAJELEC,ok:calls_listed=17:downloaded=17:text_ok=17
BAJAJFINSV,ok:calls_listed=11:downloaded=10:text_ok=10
BAJAJHFL,ok:calls_listed=7:downloaded=7:text_ok=7
BAJAJHLDNG,no_concalls_listed
BAJFINANCE,ok:calls_listed=16:downloaded=14:text_ok=14
BALAMINES,ok:calls_listed=9:downloaded=9:text_ok=9
BALKRISIND,ok:calls_listed=15:downloaded=14:text_ok=14
BALRAMCHIN,ok:calls_listed=18:downloaded=18:text_ok=18
BALUFORGE,no_concalls_listed
BANCOINDIA,no_concalls_listed
BANDHANBNK,ok:calls_listed=18:downloaded=17:text_ok=17
BANKBARODA,ok:calls_listed=17:downloaded=17:text_ok=17
BANKINDIA,ok:calls_listed=17:downloaded=17:text_ok=17
BATAINDIA,ok:calls_listed=16:downloaded=16:text_ok=16
BAYERCROP,ok:calls_listed=3:downloaded=3:text_ok=3
BBOX,ok:calls_listed=16:downloaded=16:text_ok=16
BBTC,ok:calls_listed=2:downloaded=2:text_ok=2
BDL,no_concalls_listed
BECTORFOOD,ok:calls_listed=16:downloaded=16:text_ok=16
BEL,ok:calls_listed=17:downloaded=17:text_ok=17
BELRISE,ok:calls_listed=7:downloaded=7:text_ok=7
BEML,ok:calls_listed=6:downloaded=6:text_ok=6
BERGEPAINT,ok:calls_listed=12:downloaded=3:text_ok=3
BHARATFORG,ok:calls_listed=16:downloaded=16:text_ok=16
BHARTIARTL,ok:calls_listed=16:downloaded=16:text_ok=16
BHARTIHEXA,ok:calls_listed=9:downloaded=9:text_ok=9
BHEL,ok:calls_listed=2:downloaded=2:text_ok=2
BIKAJI,ok:calls_listed=14:downloaded=14:text_ok=14
BIOCON,ok:calls_listed=16:downloaded=16:text_ok=16
BIRLACORPN,ok:calls_listed=14:downloaded=14:text_ok=14
BLACKBUCK,ok:calls_listed=8:downloaded=8:text_ok=8
BLS,ok:calls_listed=16:downloaded=16:text_ok=16
BLUEDART,ok:calls_listed=13:downloaded=10:text_ok=10
BLUEJET,ok:calls_listed=11:downloaded=11:text_ok=11
BLUESTARCO,ok:calls_listed=16:downloaded=16:text_ok=16
BLUESTONE,ok:calls_listed=6:downloaded=6:text_ok=6
BORORENEW,ok:calls_listed=17:downloaded=17:text_ok=17
