symbol,status,days,note
AADHARHFC,ok,248,
AARTIDRUGS,ok,248,
AARTIIND,ok,248,
AARTIPHARM,ok,248,
AAVAS,ok,248,
ABB,ok,248,
ABBOTINDIA,ok,248,
ABCAPITAL,ok,248,
ABDL,ok,247,
ABFRL,ok,248,
ABLBL,ok,232,
ABREL,ok,248,
ABSLAMC,ok,248,
ACC,ok,248,
ACE,ok,248,
ACI,ok,247,
ACMESOLAR,ok,248,
ACUTAAS,ok,248,
ADANIENSOL,ok,248,
ADANIENT,ok,248,
ADANIGREEN,ok,248,
ADANIPORTS,ok,248,
ADANIPOWER,ok,248,
ADVENZYMES,ok,248,
AEGISLOG,ok,247,
AEGISVOPAK,ok,248,
AEQUS,ok,116,
AETHER,ok,248,
AFCONS,ok,248,
AFFLE,ok,248,
AGARWALEYE,ok,246,
AHLUCONT,ok,248,
AIAENG,ok,246,
AIIL,ok,248,
AJANTPHARM,ok,247,
AKUMS,ok,246,
ALIVUS,ok,247,
ALKEM,ok,247,
ALKYLAMINE,ok,248,
ALOKINDS,ok,248,
AMBER,ok,248,
AMBUJACEM,ok,248,
ANANDRATHI,ok,248,
ANANTRAJ,ok,248,
ANGELONE,ok,248,
ANTHEM,ok,213,
ANUP,ok,247,
ANURAS,ok,247,
APARINDS,ok,248,
APLAPOLLO,ok,248,
APLLTD,ok,248,
APOLLO,ok,248,
APOLLOHOSP,ok,248,
APOLLOTYRE,ok,248,
APTUS,ok,248,
ARVIND,ok,248,
ARVINDFASN,ok,248,
ASAHIINDIA,ok,248,
ASHAPURMIN,ok,248,
ASHOKA,ok,248,
ASHOKLEY,ok,248,
ASIANPAINT,ok,248,
ASKAUTOLTD,ok,248,
ASTERDM,ok,248,
ASTRAL,ok,248,
ASTRAMICRO,ok,248,
ATGL,ok,248,
ATHERENERG,ok,248,
ATLANTAELE,ok,164,
ATUL,ok,248,
AUBANK,ok,248,
AURIONPRO,ok,248,
AUROPHARMA,ok,247,
AVALON,ok,248,
AVANTIFEED,ok,247,
AVL,ok,247,
AWFIS,ok,248,
AWL,ok,248,
AXISBANK,ok,248,
AXISCADES,ok,248,
AZAD,ok,248,
BAJAJ-AUTO,ok,248,
BAJAJELEC,ok,248,
BAJAJFINSV,ok,248,
BAJAJHFL,ok,248,
BAJAJHLDNG,ok,248,
BAJFINANCE,ok,248,
BALAMINES,ok,248,
BALKRISIND,ok,247,
BALRAMCHIN,ok,248,
BALUFORGE,ok,248,
BANCOINDIA,ok,247,
BANDHANBNK,ok,248,
BANKBARODA,ok,248,
BANKINDIA,ok,248,
BATAINDIA,ok,248,
BAYERCROP,ok,248,
BBOX,ok,248,
BBTC,ok,248,
BDL,ok,248,
BECTORFOOD,ok,248,
BEL,ok,248,
BELRISE,ok,248,
