,parent_line_item,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,343.0,441.0,571.0,142.0,483.0,1065.0,1393.0,1737.0,2677.0
Expenses,,292.0,395.0,484.0,163.0,451.0,876.0,1132.0,1453.0,2308.0
Operating Profit,,51.0,46.0,87.0,-21.0,32.0,189.0,261.0,285.0,370.0
OPM %,,15.0,10.0,15.0,-15.0,7.0,18.0,19.0,16.0,14.0
Other Income,,9.0,-1.0,18.0,5.0,37.0,24.0,21.0,75.0,54.0
Interest,,5.0,6.0,5.0,2.0,7.0,14.0,19.0,33.0,44.0
Depreciation,,1.0,5.0,12.0,11.0,16.0,25.0,36.0,52.0,86.0
Profit before tax,,53.0,34.0,88.0,-30.0,46.0,174.0,227.0,275.0,293.0
Tax %,,33.0,23.0,17.0,16.0,27.0,15.0,12.0,16.0,17.0
Net Profit,,36.0,26.0,73.0,-34.0,34.0,148.0,201.0,230.0,244.0
EPS in Rs,,187.62,138.92,384.79,-180.13,3.23,13.84,19.39,21.17,22.5
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Sales Growth %,Sales,,29.0,29.0,-75.0,241.0,120.0,31.0,25.0,54.0
Manufacturing Cost %,Expenses,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
Employee Cost %,Expenses,20.0,17.0,18.0,45.0,28.0,22.0,22.0,24.0,20.0
Other Cost %,Expenses,65.0,72.0,66.0,69.0,65.0,60.0,59.0,59.0,66.0
Exceptional items,Other Income,0.0,-6.0,1.0,-29.0,8.0,3.0,-4.0,19.0,2.0
Other income normal,Other Income,9.0,5.0,17.0,35.0,29.0,21.0,25.0,56.0,51.0
Minority share,Net Profit,0.0,0.0,0.0,0.0,0.0,-4.0,2.0,0.0,0.0
Exceptional items AT,Net Profit,0.0,-4.0,1.0,-24.0,5.0,2.0,-3.0,16.0,2.0
Profit excl Excep,Net Profit,36.0,31.0,72.0,-10.0,28.0,146.0,204.0,214.0,242.0
Profit for PE,Net Profit,36.0,31.0,72.0,-10.0,28.0,142.0,205.0,214.0,242.0
Profit for EPS,Net Profit,36.0,26.0,73.0,-34.0,34.0,144.0,202.0,230.0,244.0
Profit Growth %,Net Profit,,-14.0,135.0,-114.0,373.0,398.0,45.0,4.0,13.0
