,parent_line_item,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,211.0,239.0,298.0,425.0,572.0,783.0,1081.0
Expenses,,367.0,456.0,758.0,659.0,658.0,789.0,1316.0
Operating Profit,,-157.0,-216.0,-460.0,-234.0,-86.0,-6.0,-235.0
OPM %,,-74.0,-90.0,-155.0,-55.0,-15.0,-1.0,-22.0
Other Income,,46.0,42.0,89.0,106.0,116.0,128.0,154.0
Interest,,8.0,10.0,8.0,7.0,9.0,10.0,12.0
Depreciation,,19.0,24.0,25.0,27.0,32.0,32.0,43.0
Profit before tax,,-138.0,-207.0,-404.0,-161.0,-11.0,79.0,-135.0
Tax %,,-0.0,-0.0,-0.0,-0.0,-0.0,-268.0,45.0
Net Profit,,-138.0,-207.0,-404.0,-161.0,-11.0,290.0,-195.0
EPS in Rs,,-10468.49,-12417.96,-21858.38,-8722.16,-604.21,5.92,-1.27
Dividend Payout %,,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0
Sales Growth %,Sales,,13.52,24.4,42.72,34.58,36.87,38.16
Exceptional items,Other Income,18.0,2.0,7.0,4.0,0.0,0.0,0.0
Other income normal,Other Income,27.0,40.0,82.0,102.0,116.0,128.0,154.0
