,parent_line_item,Jun 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,17153.0,13435.0,19318.0,22073.0,26012.0,32666.0,35673.0,40638.0,46276.0,48118.0,51105.0
Expenses,,10294.0,8299.0,11465.0,12734.0,15594.0,19902.0,21238.0,25526.0,30033.0,31242.0,33389.0
Operating Profit,,6860.0,5136.0,7853.0,9339.0,10418.0,12764.0,14435.0,15112.0,16243.0,16876.0,17716.0
OPM %,,40.0,38.0,41.0,42.0,40.0,39.0,40.0,37.0,35.0,35.0,35.0
Other Income,,1200.0,968.0,956.0,702.0,805.0,613.0,965.0,880.0,1031.0,1076.0,1234.0
Interest,,61.0,46.0,55.0,23.0,16.0,240.0,177.0,109.0,127.0,125.0,156.0
Depreciation,,300.0,277.0,478.0,893.0,1276.0,1959.0,2813.0,2615.0,2431.0,2371.0,2320.0
Profit before tax,,7699.0,5782.0,8276.0,9125.0,9931.0,11178.0,12410.0,13268.0,14716.0,15456.0,16474.0
Tax %,,18.0,18.0,17.0,19.0,18.0,20.0,30.0,18.0,22.0,24.0,26.0
Net Profit,,6346.0,4719.0,6873.0,7362.0,8185.0,8969.0,8743.0,10874.0,11459.0,11674.0,12266.0
EPS in Rs,,22.57,16.73,24.09,26.44,30.17,33.05,32.22,40.07,42.23,43.02,45.2
Dividend Payout %,,66.0,48.0,50.0,23.0,13.0,30.0,31.0,105.0,114.0,121.0,133.0
Sales Growth %,Sales,3.98,43.79,14.26,17.85,25.58,9.21,13.92,13.87,3.98,6.21,7.68
Material Cost %,Expenses,1.73,0.84,0.85,0.63,0.47,0.39,0.37,0.34,0.3,0.29,0.23
Manufacturing Cost %,Expenses,15.59,15.21,16.89,22.19,25.04,23.47,20.91,18.85,16.44,16.16,0.0
Employee Cost %,Expenses,34.54,35.43,33.37,31.06,30.48,32.94,39.06,42.78,43.57,43.86,46.02
Other Cost %,Expenses,8.15,7.86,6.58,6.07,4.93,2.74,2.48,2.93,4.62,5.03,22.75
Exceptional items AT,Net Profit,103.0,34.0,112.0,97.0,84.0,151.0,96.0,202.0,113.0,135.0,-4853.0
Profit excl Excep,Net Profit,6243.0,6839.0,7250.0,8088.0,8885.0,8592.0,10778.0,11257.0,11561.0,12131.0,12480.0
Profit for PE,Net Profit,6243.0,6839.0,7250.0,8088.0,8885.0,8592.0,10778.0,11257.0,11561.0,12131.0,12480.0
Profit for EPS,Net Profit,6346.0,6873.0,7362.0,8185.0,8969.0,8743.0,10874.0,11459.0,11674.0,12266.0,7627.0
Profit Growth %,Net Profit,6.0,48.0,6.0,12.0,10.0,-3.0,25.0,4.0,3.0,5.0,3.0
