,parent_line_item,Jun 2015,Mar 2017,Mar 2018,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,6259.0,5514.0,8594.0,9833.0,12555.0,12868.0,13560.0,15010.0,17852.0,20404.0,19283.0
Expenses,,4916.0,4107.0,6081.0,7360.0,9758.0,9098.0,9468.0,11300.0,14893.0,15887.0,15349.0
Operating Profit,,1344.0,1407.0,2513.0,2473.0,2797.0,3771.0,4091.0,3710.0,2960.0,4517.0,3934.0
OPM %,,21.0,26.0,29.0,25.0,22.0,29.0,30.0,25.0,17.0,22.0,20.0
Other Income,,102.0,673.0,362.0,389.0,69.0,263.0,426.0,544.0,459.0,598.0,589.0
Interest,,121.0,76.0,129.0,135.0,248.0,291.0,251.0,216.0,263.0,258.0,205.0
Depreciation,,925.0,828.0,1215.0,899.0,1472.0,1808.0,1262.0,1146.0,1661.0,1897.0,3007.0
Profit before tax,,401.0,1176.0,1531.0,1827.0,1146.0,1934.0,3004.0,2892.0,1495.0,2959.0,1312.0
Tax %,,-6.0,3.0,13.0,24.0,11.0,20.0,24.0,19.0,15.0,19.0,14.0
Net Profit,,426.0,1143.0,1339.0,1384.0,1015.0,1544.0,2290.0,2337.0,1269.0,2396.0,1124.0
EPS in Rs,,122.37,328.13,384.38,397.32,288.86,425.67,633.54,646.31,352.18,663.98,311.18
Dividend Payout %,,20.0,7.0,36.0,13.0,21.0,26.0,9.0,14.0,28.0,16.0,35.0
Sales Growth %,Sales,9.53,55.87,14.41,27.68,2.5,5.37,10.69,18.94,14.29,-5.49,8.61
Exceptional items,Other Income,-4.0,12.0,38.0,-180.0,-7.0,16.0,17.0,12.0,-15.0,7.0,0.0
Other income normal,Other Income,107.0,349.0,351.0,249.0,270.0,410.0,527.0,447.0,613.0,582.0,661.0
Minority share,Net Profit,0.0,0.0,0.0,-9.0,-8.0,-4.0,-5.0,2.0,-0.0,-1.0,-5.0
Exceptional items AT,Net Profit,-3.0,10.0,28.0,-146.0,-5.0,12.0,13.0,9.0,-12.0,5.0,0.0
Profit excl Excep,Net Profit,430.0,1329.0,1356.0,1161.0,1549.0,2278.0,2324.0,1260.0,2408.0,1119.0,1749.0
Profit for PE,Net Profit,430.0,1329.0,1356.0,1151.0,1541.0,2274.0,2319.0,1262.0,2408.0,1118.0,1744.0
Profit for EPS,Net Profit,426.0,1339.0,1384.0,1006.0,1536.0,2286.0,2332.0,1271.0,2396.0,1123.0,1744.0
Profit Growth %,Net Profit,-47.0,17.0,2.0,-15.0,34.0,48.0,2.0,-46.0,91.0,-54.0,56.0
