,parent_line_item,Nov 2006,Nov 2007,Nov 2008
Sales,,664.0,676.0,678.0
Expenses,,537.0,815.0,760.0
Operating Profit,,127.0,-139.0,-82.0
OPM %,,19.0,-21.0,-12.0
Other Income,,48.0,600.0,512.0
Interest,,0.0,0.0,0.0
Depreciation,,13.0,10.0,11.0
Profit before tax,,163.0,451.0,419.0
Tax %,,35.0,25.0,29.0
Net Profit,,106.0,340.0,300.0
EPS in Rs,,35.64,113.94,100.39
Dividend Payout %,,63.0,24.0,12.0
Sales Growth %,Sales,,1.74,0.35
Material Cost %,Expenses,34.0,35.0,35.0
Manufacturing Cost %,Expenses,4.0,5.0,5.0
Employee Cost %,Expenses,15.0,15.0,15.0
Other Cost %,Expenses,27.0,66.0,57.0
Exceptional items,Other Income,-11.0,257.0,208.0
Other income normal,Other Income,60.0,343.0,304.0
Exceptional items AT,Net Profit,-7.0,195.0,146.0
Profit excl Excep,Net Profit,114.0,145.0,153.0
Profit for PE,Net Profit,114.0,145.0,153.0
Profit for EPS,Net Profit,106.0,340.0,300.0
Profit Growth %,Net Profit,,28.0,6.0
