,parent_line_item,Jun 2006,Jun 2007,Jun 2008,Jun 2009,Jun 2010,Mar 2026
Sales,,1432.0,1493.0,1483.0,1395.0,1613.0,5406.0
Expenses,,1386.0,1422.0,1438.0,1327.0,1489.0,4885.0
Operating Profit,,46.0,72.0,46.0,68.0,123.0,521.0
OPM %,,3.0,5.0,3.0,5.0,8.0,10.0
Other Income,,20.0,15.0,18.0,6.0,4.0,33.0
Interest,,22.0,24.0,19.0,21.0,18.0,15.0
Depreciation,,17.0,17.0,17.0,18.0,20.0,92.0
Profit before tax,,28.0,46.0,27.0,35.0,90.0,448.0
Tax %,,40.0,30.0,17.0,45.0,33.0,26.0
Net Profit,,17.0,32.0,23.0,19.0,60.0,330.0
EPS in Rs,,0.86,1.67,1.16,0.99,3.12,17.51
Dividend Payout %,,58.0,30.0,43.0,50.0,29.0,46.0
Sales Growth %,Sales,,4.26,-0.67,-5.96,15.61,
Exceptional items,Other Income,6.85,-0.12,5.84,-0.04,0.07,-10.04
Other income normal,Other Income,13.53,15.14,11.91,6.49,4.29,43.51
Minority share,Net Profit,0.0,1.0,0.0,0.0,0.0,-1.0
Exceptional items AT,Net Profit,4.0,-0.0,4.0,-0.0,0.0,-7.0
Profit excl Excep,Net Profit,13.0,32.0,18.0,19.0,60.0,337.0
Profit for PE,Net Profit,13.0,33.0,18.0,19.0,60.0,337.0
Profit for EPS,Net Profit,17.0,33.0,23.0,19.0,60.0,329.0
Profit Growth %,Net Profit,,154.0,-44.0,6.0,214.0,
