,parent_line_item,Mar 2017,Mar 2019,Mar 2020,Mar 2021,Mar 2022,Mar 2023,Mar 2024,Mar 2025,Mar 2026
Sales,,2012.0,2953.0,8119.0,6379.0,2686.0,3147.0,3328.0,3520.0,3880.0
Expenses,,1825.0,2650.0,7884.0,6183.0,2487.0,2960.0,3084.0,3088.0,3305.0
Operating Profit,,187.0,302.0,235.0,196.0,199.0,187.0,244.0,432.0,575.0
OPM %,,9.0,10.0,3.0,3.0,7.0,6.0,7.0,12.0,15.0
Other Income,,9.0,-5.0,17.0,20.0,12.0,12.0,2.0,21.0,26.0
Interest,,121.0,192.0,180.0,142.0,145.0,135.0,173.0,125.0,130.0
Depreciation,,72.0,81.0,69.0,58.0,57.0,54.0,55.0,57.0,69.0
Profit before tax,,4.0,24.0,3.0,16.0,8.0,9.0,18.0,271.0,403.0
Tax %,,60.0,70.0,-489.0,64.0,29.0,47.0,62.0,26.0,33.0
Net Profit,,2.0,7.0,15.0,6.0,6.0,5.0,7.0,200.0,268.0
EPS in Rs,,1.41,0.31,0.63,0.24,0.25,0.2,0.28,7.15,9.59
Dividend Payout %,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,50.0,56.0
Sales Growth %,Sales,,,174.97,-21.43,-57.9,17.16,5.76,5.76,10.24
Exceptional items,Other Income,-0.94,-17.42,-0.55,0.0,0.8,-0.04,-4.02,0.34,-2.85
Other income normal,Other Income,10.09,12.54,17.48,20.0,11.43,12.09,6.32,21.1,28.74
Exceptional items AT,Net Profit,-0.0,-6.0,-1.0,0.0,0.0,-0.0,-2.0,0.0,-2.0
Profit excl Excep,Net Profit,2.0,14.0,15.0,6.0,6.0,5.0,8.0,200.0,270.0
Profit for PE,Net Profit,2.0,14.0,15.0,6.0,6.0,5.0,8.0,200.0,270.0
Profit for EPS,Net Profit,2.0,7.0,15.0,6.0,6.0,5.0,7.0,200.0,268.0
Profit Growth %,Net Profit,,,14.0,-63.0,-3.0,-10.0,66.0,2329.0,35.0
